  category,reference
The Office,"I’d host a CPR session for you, but you’re not nerdy enough to understand."
The Office,"I’d protect your stapler from Jell-O, but you’re not nerdy enough to understand."
The Office,"I’d drive you to the Scranton branch, but you’re not nerdy enough to understand."

Vampire Diaries,"I’d turn off my humanity for you, but you’re not nerdy enough to understand."
Vampire Diaries,"I’d write in the Gilbert journal for you, but you’re not nerdy enough to understand."
Vampire Diaries,"I’d walk through the woods at midnight for you, but you’re not nerdy enough to understand."
Vampire Diaries,"I’d drink vervain tea with you, but you’re not nerdy enough to understand."
Vampire Diaries,"I’d wear a daylight ring for you, but you’re not nerdy enough to understand."
Vampire Diaries,"I’d save you from the Other Side, but you’re not nerdy enough to understand."
Vampire Diaries,"I’d fight a hybrid for you, but you’re not nerdy enough to understand."
Vampire Diaries,"I’d write you a letter without compulsion, but you’re not nerdy enough to understand."
Vampire Diaries,"I’d store your secret in the Salvatore cellar, but you’re not nerdy enough to understand."
Vampire Diaries,"I’d buy you vervain jewelry, but you’re not nerdy enough to understand."

Sherlock,"I’d jump off St. Bart’s for you, but you’re not nerdy enough to understand."
Sherlock,"I’d deduce your entire life from your shoes, but you’re not nerdy enough to understand."
Sherlock,"I’d keep your pressure point safe, but you’re not nerdy enough to understand."
Sherlock,"I’d write you a message in invisible ink, but you’re not nerdy enough to understand."
Sherlock,"I’d text you from 221B, but you’re not nerdy enough to understand."
Sherlock,"I’d solve your case before you ask, but you’re not nerdy enough to understand."
Sherlock,"I’d crack Moriarty’s code for you, but you’re not nerdy enough to understand."
Sherlock,"I’d keep a severed head in the fridge for you, but you’re not nerdy enough to understand."
Sherlock,"I’d be your Watson today, but you’re not nerdy enough to understand."
Sherlock,"I’d wallpaper a smiley face for you, but you’re not nerdy enough to understand."

Anime,"I’d write your name in my Death Note, but you’re not nerdy enough to understand."
Anime,"I’d go Ultra Instinct for you, but you’re not nerdy enough to understand."
Anime,"I’d become the Hokage for you, but you’re not nerdy enough to understand."
Anime,"I’d steal your Titan powers, but you’re not nerdy enough to understand."
Anime,"I’d train at U.A. High for you, but you’re not nerdy enough to understand."
Anime,"I’d catch all Pokémon for you, but you’re not nerdy enough to understand."
Anime,"I’d ride Lapras to see you, but you’re not nerdy enough to understand."
Anime,"I’d duel you with my best card, but you’re not nerdy enough to understand."
Anime,"I’d open the gate of Babylon for you, but you’re not nerdy enough to understand."
Anime,"I’d shout “Plus Ultra!” for you, but you’re not nerdy enough to understand."

Disney Pixar,"I’d cross the ocean with Maui for you, but you’re not nerdy enough to understand."
Disney Pixar,"I’d give you my last memory orb, but you’re not nerdy enough to understand."
Disney Pixar,"I’d say “to infinity and beyond” for you, but you’re not nerdy enough to understand."
Disney Pixar,"I’d share my beignets from Tiana’s kitchen, but you’re not nerdy enough to understand."
Disney Pixar,"I’d fix your emotions console, but you’re not nerdy enough to understand."
Disney Pixar,"I’d race you in Radiator Springs, but you’re not nerdy enough to understand."
Disney Pixar,"I’d collect screams—or laughs—for you, but you’re not nerdy enough to understand."
Disney Pixar,"I’d build you a snowman, but you’re not nerdy enough to understand."
Disney Pixar,"I’d protect your magic candle, but you’re not nerdy enough to understand."
Disney Pixar,"I’d fly your house to Paradise Falls, but you’re not nerdy enough to understand."

Star Wars,"I’d become one with the Force for you, but you’re not nerdy enough to understand."
Star Wars,"I’d duel Darth Vader for you, but you’re not nerdy enough to understand."
Star Wars,"I’d fly the Millennium Falcon to pick you up, but you’re not nerdy enough to understand."
Star Wars,"I’d join the Rebellion for you, but you’re not nerdy enough to understand."
Star Wars,"I’d give you my spare kyber crystal, but you’re not nerdy enough to understand."
Star Wars,"I’d speak in R2-D2 beeps for you, but you’re not nerdy enough to understand."
Star Wars,"I’d bring balance to your galaxy, but you’re not nerdy enough to understand."
Star Wars,"I’d execute Order “Love You,” but you’re not nerdy enough to understand."
Star Wars,"I’d train under Yoda for you, but you’re not nerdy enough to understand."
Star Wars,"I’d choose you even in a cantina full of aliens, but you’re not nerdy enough to understand."

Bollywood,"I’d wait at the train station like Raj, but you’re not nerdy enough to understand."
Bollywood,"I’d steal a red diary for you, but you’re not nerdy enough to understand."
Bollywood,"I’d climb the water tank screaming your name, but you’re not nerdy enough to understand."
Bollywood,"I’d bring you golgappas like Geet, but you’re not nerdy enough to understand."
Bollywood,"I’d dance in the rain with you like Barfi, but you’re not nerdy enough to understand."
Bollywood,"I’d run across snow valleys for you, but you’re not nerdy enough to understand."
Bollywood,"I’d wait 7 births to meet you, but you’re not nerdy enough to understand."
Bollywood,"I’d break into song mid-sentence for you, but you’re not nerdy enough to understand."
Bollywood,"I’d fight 100 goons single-handedly for you, but you’re not nerdy enough to understand."
Bollywood,"I’d write your name in my physics notebook like Rancho, but you’re not nerdy enough to understand."

Percy Jackson,"I’d steal back the Master Bolt for you, but you’re not nerdy enough to understand."
Percy Jackson,"I’d take the Grey Sisters’ taxi just to see you, but you’re not nerdy enough to understand."
Percy Jackson,"I’d fight a Minotaur unarmed for you, but you’re not nerdy enough to understand."
Percy Jackson,"I’d bring ambrosia and nectar for you, but you’re not nerdy enough to understand."
Percy Jackson,"I’d survive the Labyrinth for you, but you’re not nerdy enough to understand."
Percy Jackson,"I’d sail the Argo II for you, but you’re not nerdy enough to understand."
Percy Jackson,"I’d ask Annabeth for advice about you, but you’re not nerdy enough to understand."
Percy Jackson,"I’d protect your cabin at Camp Half-Blood, but you’re not nerdy enough to understand."
Percy Jackson,"I’d outrun a Hellhound for you, but you’re not nerdy enough to understand."
Percy Jackson,"I’d rewrite the Great Prophecy for you, but you’re not nerdy enough to understand."

Classic Cinema,"I’d run through the airport like every '90s movie for you, but you’re not nerdy enough to understand."
Classic Cinema,"I’d rewrite my Casablanca goodbye for you, but you’re not nerdy enough to understand."
Classic Cinema,"I’d spin a coin like Inception for you, but you’re not nerdy enough to understand."
Classic Cinema,"I’d open the pod bay doors for you, but you’re not nerdy enough to understand."
Classic Cinema,"I’d search for the Rosebud truth for you, but you’re not nerdy enough to understand."
Classic Cinema,"I’d tap dance down the street for you, but you’re not nerdy enough to understand."
Classic Cinema,"I’d carry a boombox outside your window, but you’re not nerdy enough to understand."
Classic Cinema,"I’d run with Forrest for you, but you’re not nerdy enough to understand."
Classic Cinema,"I’d hide you from the T-Rex, but you’re not nerdy enough to understand."
Classic Cinema,"I’d write you letters across decades, but you’re not nerdy enough to understand."

Taylor Swift,"I’d keep your scarf safe with me, but you’re not nerdy enough to understand."
Taylor Swift,"I’d meet you at midnight, but you’re not nerdy enough to understand."
Taylor Swift,"I’d be the one you remember all too well, but you’re not nerdy enough to understand."
Taylor Swift,"I’d choose you even in the cruel summer, but you’re not nerdy enough to understand."
Taylor Swift,"I’d dance in the refrigerator light for you, but you’re not nerdy enough to understand."
Taylor Swift,"I’d save a seat for you on the bleachers, but you’re not nerdy enough to understand."
Taylor Swift,"I’d fight a thousand paper wounds for you, but you’re not nerdy enough to understand."
Taylor Swift,"I’d jump then fall for you, but you’re not nerdy enough to understand."
Taylor Swift,"I’d hold your hand through all the eras, but you’re not nerdy enough to understand."
Taylor Swift,"I’d love you like folklore, but you’re not nerdy enough to understand."

K-Drama,"I’d wait under the broken streetlight for you, but you’re not nerdy enough to understand."
K-Drama,"I’d give you my last fish-shaped bun, but you’re not nerdy enough to understand."
K-Drama,"I’d time travel through rooftops for you, but you’re not nerdy enough to understand."
K-Drama,"I’d get amnesia just to fall for you again, but you’re not nerdy enough to understand."
K-Drama,"I’d guard your umbrella in the rain, but you’re not nerdy enough to understand."
K-Drama,"I’d solve the goblin’s curse with you, but you’re not nerdy enough to understand."
K-Drama,"I’d walk through parallel universes for you, but you’re not nerdy enough to understand."
K-Drama,"I’d wait at the pojangmacha for you, but you’re not nerdy enough to understand."
K-Drama,"I’d give you my last soju bottle cap twist, but you’re not nerdy enough to understand."
K-Drama,"I’d follow clues through time for you, but you’re not nerdy enough to understand."

Indian Mythology,"I’d break a bow for you like Ram, but you’re not nerdy enough to understand."
Indian Mythology,"I’d burn the sea to reach you, but you’re not nerdy enough to understand."
Indian Mythology,"I’d catch the falling mountain for you, but you’re not nerdy enough to understand."
Indian Mythology,"I’d stand guard at your swayamvar, but you’re not nerdy enough to understand."
Indian Mythology,"I’d rewrite your fate even if it’s in stone, but you’re not nerdy enough to understand."
Indian Mythology,"I’d search the three worlds for you, but you’re not nerdy enough to understand."
Indian Mythology,"I’d ask Krishna for advice about you, but you’re not nerdy enough to understand."
Indian Mythology,"I’d cross the ocean with the vanara sena for you, but you’re not nerdy enough to understand."
Indian Mythology,"I’d take your curse upon myself, but you’re not nerdy enough to understand."
Indian Mythology,"I’d fight a thousand Kauravas for you, but you’re not nerdy enough to understand."

Video Games,"I’d build a diamond house for you in Minecraft, but you’re not nerdy enough to understand."
Video Games,"I’d save your XP levels from lava, but you’re not nerdy enough to understand."
Video Games,"I’d steal a car in GTA just to reach you faster, but you’re not nerdy enough to understand."
Video Games,"I’d carry a witcher contract for you, but you’re not nerdy enough to understand."
Video Games,"I’d shout “BOY” like Kratos for you, but you’re not nerdy enough to understand."
Video Games,"I’d roam Novigrad looking for you, but you’re not nerdy enough to understand."
Video Games,"I’d enchant your sword with Level 30, but you’re not nerdy enough to understand."
Video Games,"I’d store your loot in my Ender Chest, but you’re not nerdy enough to understand."
Video Games,"I’d swing across San Andreas for you, but you’re not nerdy enough to understand."
Video Games,"I’d fight Baldur for you, but you’re not nerdy enough to understand."

Sitcoms,"I’d say “NOICE, TOIT” for you, but you’re not nerdy enough to understand."
Sitcoms,"I’d organize a full heist night for you, but you’re not nerdy enough to understand."
Sitcoms,"I’d bring you waffles like Leslie, but you’re not nerdy enough to understand."
Sitcoms,"I’d create a binder of your goals, but you’re not nerdy enough to understand."
Sitcoms,"I’d recreate a Phil’s-osophy quote for you, but you’re not nerdy enough to understand."
Sitcoms,"I’d make the entire squad arrest your sadness, but you’re not nerdy enough to understand."
Sitcoms,"I’d host a debate with Knope-level passion for you, but you’re not nerdy enough to understand."
Sitcoms,"I’d build your dream park without paperwork, but you’re not nerdy enough to understand."
Sitcoms,"I’d prank Gina’s dance class for you, but you’re not nerdy enough to understand."
Sitcoms,"I’d adopt 5 pets like Andy Dwyer for you, but you’re not nerdy enough to understand."
